city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Lüderitz,-26.6481,15.1594,294.18,42,0,2.7,NA,1633988501
Mehamn,71.0357,27.8492,280.1,93,75,4.12,NO,1633988501
Biltine,14.5333,20.9167,305.08,15,25,4.86,TD,1633988502
Lubsko,51.7847,14.972,282.06,96,21,4.33,PL,1633988502
Eureka,40.8021,-124.1637,290.19,67,1,4.02,US,1633988503
Çubuk,40.2386,33.0322,289.13,58,0,0.51,TR,1633988503
Avera,33.194,-82.5271,299.12,61,100,1.58,US,1633988503
Moose Factory,51.2585,-80.6094,291.15,94,90,5.66,CA,1633988504
Belen,36.4891,36.2233,292.05,73,0,3.6,TR,1633988504
Ilulissat,69.2167,-51.1,270.16,68,100,1.03,GL,1633988504
Kasama,-10.2129,31.1808,293.82,51,88,4.57,ZM,1633988505
Aksarka,66.5606,67.7975,269.26,79,11,2.17,RU,1633988505
Tungor,53.3808,142.9564,278.79,71,7,6.64,RU,1633988505
Port Pirie,-33.1833,138.0167,280.2,34,78,3.76,AU,1633988506
Leningradskiy,69.3833,178.4167,262.77,91,26,2.51,RU,1633988506
Kumul,42.8,93.45,280.5,47,11,4.01,CN,1633988506
Bredasdorp,-34.5322,20.0403,287.76,84,100,1.45,ZA,1633988507
Kamenka,51.3223,42.7678,280.96,50,100,3.15,RU,1633988507
Djibouti,11.5,42.5,300.83,60,22,1.83,DJ,1633988507
Vestmannaeyjar,63.4427,-20.2734,280.75,77,92,8.11,IS,1633988508
Portland,45.5234,-122.6762,289.17,60,40,1.34,US,1633988508
Kidodi,-7.6036,37.0044,295.31,61,62,0.97,TZ,1633988508
Lugoba,-6.45,38.3333,293.47,90,83,0.35,TZ,1633988509
Bambous Virieux,-20.3428,57.7575,296.6,94,40,2.06,MU,1633988509
Panjāb,34.388,67.0233,272.73,30,0,2.17,AF,1633988509
Mossamedes,-15.1961,12.1522,293.42,94,35,1.07,AO,1633988510
Mogadishu,2.0371,45.3438,298.68,85,94,7.05,SO,1633988497
Salalah,17.0151,54.0924,299.2,78,20,1.54,OM,1633988510
Tiarei,-17.5333,-149.3333,302.16,79,27,6.79,PF,1633988510
Rio Grande,-32.035,-52.0986,291.21,91,100,9.54,BR,1633988511
Longyearbyen,78.2186,15.6401,271.06,74,20,8.75,SJ,1633988511
Thurso,58.5927,-3.5259,282.29,80,100,3.22,GB,1633988511
Khatanga,71.9667,102.5,264.79,96,100,3.1,RU,1633988512
Butaritari,3.0707,172.7902,300.4,73,80,4.67,KI,1633988512
Birin,26.8865,88.0718,288.61,66,0,2.81,NP,1633988512
Deputatsky,69.3,139.9,266.93,97,100,0.99,RU,1633988513
Mwene-Ditu,-7.0,23.45,291.92,85,92,1.46,CD,1633988513
Havre-St-Pierre,50.2334,-63.5986,288.48,87,1,3.6,CA,1633988513
Ponta do Sol,32.6667,-17.1,295.5,66,72,2.36,PT,1633988514
Port Elizabeth,-33.918,25.5701,288.31,72,40,2.57,ZA,1633988514
Lebu,-37.6167,-73.65,285.5,80,100,6.62,CL,1633988514
Boa Vista,2.8197,-60.6733,299.14,89,75,3.09,BR,1633988411
Aktobe,50.2797,57.2072,272.2,80,0,2.0,KZ,1633988515
Hokitika,-42.7167,170.9667,284.76,67,80,0.39,NZ,1633988515
Olovyannaya,50.95,115.5667,275.75,84,93,2.24,RU,1633988516
Cam Ranh,11.9214,109.1591,298.13,94,40,1.03,VN,1633988516
Ugoofaaru,5.6667,73.0,301.14,78,100,8.99,MV,1633988516
Raudeberg,61.9875,5.1352,279.19,95,60,0.45,NO,1633988517
Kruisfontein,-34.0033,24.7314,292.43,23,94,3.45,ZA,1633988517
Kalmunai,7.4167,81.8167,300.39,72,100,0.77,LK,1633988517
Severo-Kuril'sk,50.6789,156.125,280.95,85,95,15.33,RU,1633988518
George Town,5.4112,100.3354,299.12,88,20,0.0,MY,1633988518
Pisco,-13.7,-76.2167,291.18,77,40,4.63,PE,1633988518
